1,,,11,1,59,1,,,,,271,2,,,,,,"케쥬얼,캠퍼스",여,"10대,20대,30대",,,"여름",
2,,,143,1,298,1,,,,,58,1,,,,,,"케쥬얼,캠퍼스,러블리",여,"10대,20대,30대",,,"봄,여름,가을",
3,,,,,,,,,395,1,58,1,139,1,,,,"캠퍼스,페미닌,러블리",여,"10대,20대,30대",,,"봄,여름,가을",
4,,,370,1,370,2,,,,,170,1,,,,,,"미니멀,오피스",남,"10대,20대,30대",,,"봄,여름,가을",
5,,,400,1,400,2,,,,,186,2,,,251,1,,"케쥬얼,캠퍼스,스트릿","남,여","10대,20대,30대",,,"봄,여름,가을",
6,,,361,1,9,1,,,,,174,2,,,,,,"미니멀,케쥬얼,캠퍼스","남,여","10대,20대,30대",,,"봄,가을",
7,,,,,,,,,332,1,269,2,324,1,,,,"캠퍼스,섹시글램,페미닌,러블리",여,"10대,20대,30대",,,여름,
8,15,1,,,12,1,,,,,269,2,324,1,,,,"캠퍼스,오피스,페미닌",여,"10대,20대,30대",,,"봄,가을",
9,,,131,1,52,1,,,,,261,2,203,1,,,,"미니멀,캠퍼스","남,여","10대,20대,30대",,,"봄,가을",
10,,,119,1,167,1,,,,,174,2,,,243,1,,"케쥬얼,캠퍼스,아메카지","남,여","10대,20대,30대",,,"봄,가을",
11,,,89,1,94,1,,,,,101,1,264,1,,,,"캠퍼스,오피스,페미닌",여,"10대,20대,30대",,,"봄,여름,가을",
12,,,122,1,64,1,,,,,154,3,,,,,,"미니멀,캠퍼스,오피스",남,"10대,20대,30대",,,"봄,가을",
13,,,148,1,,,302,1,,,268,1,264,1,,,,"캠퍼스,오피스,페미닌,러블리",여,"10대,20대,30대",,,"봄,여름,가을",
14,,,392,1,392,2,,,,,270,2,325,1,,,,"오피스,페미닌",여,"20대,30대",,,"봄,여름,가을",
15,,,,,,,,,401,1,262,2,202,1,259,1,,"케쥬얼,캠퍼스,시티보이","남,여","10대,20대,30대",,,여름,
16,32,1,,,,,375,1,,,269,2,,,,,,"캠퍼스,오피스,페미닌,러블리",여,"20대,30대",,,"봄,가을",
17,,,39,1,,,383,1,,,154,3,323,2,,,,"캠퍼스,오피스.페미닌.러블리",여,"10대,20대,30대",,,여름,
18,345,1,,,342,1,,,,,269,2,325,1,,,,"오피스,페미닌",여,"20대,30대",,,"봄,가을",
19,,,,,,,,,294,1,58,1,212,1,,,,"케쥬얼,캠퍼스,페미닌,러블리",여,"10대,20대,30대",,,"봄,여름,가을",
20,,,198,1,193,1,,,,,103,1,204,1,,,,"미니멀,케쥬얼,캠퍼스,시티보이",남,"10대,20대,30대",,,"봄,여름,가을",
21,,,358,1,239,1,,,,,186,2,,,218,1,,케쥬얼,"남,여","10대,20대,30대",,,여름,
22,,,60,1,94,1,,,,,272,1,211,1,,,,"케쥬얼,캠퍼스,오피스",여,"10대,20대,30대",,,"봄,여름,가을",
23,,,336,1,,,382,1,,,58,1,139,1,,,,"케쥬얼,캠퍼스,러블리",여,"10대,20대,30대",,,여름,
24,,,20,1,,,387,1,,,106,1,,,,,,"케쥬얼,캠퍼스,페미닌",여,"10대,20대,30대",,,여름,
25,,,109,1,191,1,,,,,190,3,205,1,,,,"미니멀,케쥬얼,캠퍼스","남,여","10대,20대,30대",,,"봄,여름,가을",
26,,,334,1,95,1,,,,,102,1,263,1,,,메론캠퍼스,"케쥬얼,캠퍼스",여,20대,,,"봄,여름,가을",
27,293,1,,,,,,,294,1,273,2,322,1,,,원피스에 트렌치코트,"캠퍼스,페미닌",여,"20대,30대",,,가을,
28,,,53,1,372,1,,,,,58,1,141,1,219,1,연습실,케쥬얼,여,"10대,20대",,,"봄,여름,가을",
29,,,53,1,95,1,,,,,178,2,,,216,1,간맥,케쥬얼,여,"10대,20대",,,"봄,여름,가을",
30,,,57,2,,,381,1,,,273,2,325,1,,,테니스스커트1,"케쥬얼,캠퍼스",여,"10대,20대",,,"봄,여름",
31,,,275,1,,,388,1,,,274,2,,,,,가죽치마,"섹시글램,페미닌",여,"20대,30대",,,가을,
32,,,6,1,241,1,,,,,106,1,140,1,,,여름독서실,"케쥬얼,캠퍼스",남,"10대,20대",,,여름,
33,,,195,1,194,1,,,,,187,1,124,1,,,행인1,"케쥬얼,캠퍼스",여,"10대,20대",,,여름,
34,,,163,1,,,299,1,,,178,2,330,,,,얼룩가죽,"케쥬얼,캠퍼스,페미닌",여,"10대,20대",,,"여름,가을",
35,,,336,1,331,1,,,,,186,2,,,,,헬스핫핑크,케쥬얼,여,"10대,20대,30대",,,여름,
36,289,2,86,1,339,1,,,,,102,1,328,2,,,눈오는날등교,"케쥬얼,캠퍼스",남,"10대,20대",,,겨울,
37,,,93,1,,,96,1,,,269,2,208,1,,,차분하게,"캠퍼스,오피스,페미닌",여,"20대,30대",,,"봄,가을",
38,,,318,1,,,224,1,,,174,2,211,1,,,학교데이트,캠퍼스,여,20대,,,"봄,가을",
39,,,43,1,,,94,1,,,181,2,139,1,,,무난무난,"캠퍼스,페미닌",여,"10대,20대",,,"여름,가을",
40,,,6,1,236,1,,,,,183,1,141,1,,,남자무난,"케쥬얼,캠퍼스",남,"10대,20대",,,"여름,가을",
41,,,360,1,239,1,,,,,106,1,226,1,,,새벽에맥주사러,케쥬얼,남,"10대,20대",,,"봄,여름,가을",
42,,,197,1,149,1,,,,,178,2,263,1,,,공대생남친룩,"케쥬얼,캠퍼스",남,"10대,20대",,,"여름,가을",
43,,,145,1,194,1,,,,,182,2,212,1,,,해수욕장,케쥬얼,여,"10대,20대,30대",,,여름,
44,,,19,1,,,61,1,,,161,2,264,1,,,새내기,"캠퍼스,러블리",여,"10대,20대",,,"봄,가을",
45,,,21,1,,,386,1,,,58,1,322,1,,,귀요미,"캠퍼스,러블리",여,"10대,20대",,,"봄,여름",
46,,,392,1,392,2,,,,,176,1,330,,,,투피스직장인,"오피스,페미닌",여,"20대,30대",,,여름,
47,,,109,1,149,1,,,,,153,3,137,1,,,모나미아닌척,"미니멀,케쥬얼,캠퍼스",남,"10대,20대,30대",,,"봄,가을",
48,,,,,,,,,25,1,104,1,216,1,,,저녁산책,케쥬얼,여,"10대,20대,30대",,,"봄,여름,가을",
49,,,281,1,,,227,1,,,178,2,209,1,,,파란체크나시,"캠퍼스,페미닌",여,"10대,20대,30대",,,여름,
50,36,1,,,,,,,223,1,272,1,322,1,,,회사,"오피스,페미닌",여,"20대,30대",,,"봄,가을",
51,320,1,56,1,,,381,1,,,153,3,209,1,,,스쿨룩,"캠퍼스,페미닌",여,"10대,20대",,,"봄,가을",
52,,,63,1,37,1,,,,,58,1,138,1,,,운동화블라우스,"캠퍼스,페미닌",여,"10대,20대,30대",,,"봄,여름,가을",
53,,,315,1,,,303,1,,,185,2,214,1,226,1,학교,캠퍼스,여,"10대,20대",,,"봄,가을",
54,,,,,,,,,50,1,273,2,208,1,,,블랙미니원피스,페미닌,여,"10대,20대,30대",,,"봄,여름,가을",
55,,,,,,,,,294,1,268,1,264,1,,,봄블랙원피스,페미닌,여,"10대,20대,30대",,,"봄,가을",
56,,,200,1,,,224,1,,,187,1,213,1,,,파랭이,캠퍼스,여,"10대,20대,30대",,,"봄,가을",
57,,,6,1,7,1,,,,,160,2,140,1,221,1,노란운동화,"케쥬얼,캠퍼스",여,"10대,20대",,,"봄,가을",
58,,,128,1,191,1,,,,,152,1,214,1,,,남색셔츠,"미니멀,캐머스",남,"10대,20대,30대",,,"봄,가을",
59,136,1,91,1,94,1,,,,,102,1,210,2,,,노란가방,캠퍼스,여,"10대,20대,30대",,,가을,
60,136,1,358,1,193,2,,,,,102,1,263,1,,,가디건남자,"미니멀,캠퍼스",남,"10대,20대,30대",,,가을,
61,,,283,1,,,299,1,,,171,2,211,1,,,회색쫄니트,"캠퍼스,섹시글램",여,"20대,30대",,,가을,
62,287,1,53,1,9,1,,,,,58,1,,,48,1,모나미캐주얼,케쥬얼,"남,여","10대,20대,30대",,,"봄,가을",
63,,,114,1,167,1,,,,,178,2,139,1,,,여름아메카지,"케쥬얼,아메카지","남,여","10대,20대,30대",,,여름,
64,,,146,1,,,303,1,,,269,2,322,1,,,이상한니트,"캠퍼스,오피스",여,"20대,30대",,,"봄,가을",
65,,,60,1,12,1,,,,,104,1,137,1,,,청량,캠퍼스,여,"10대,20대",,,"봄,여름,가을",
66,,,,,,,,,395,1,181,2,324,1,,,연보라점프수트,"캠퍼스,오피스",여,"20대,30대",,,"봄,여름,가을",
67,,,76,1,164,1,,,,,183,1,,,,,갈색반바지,"케쥬얼,캠퍼스",여,"10대,20대,30대",,,여름,
68,,,41,1,149,1,,,,,157,1,204,2,251,1,블랙스트릿,"케쥬얼,스트릿",남,"10대,20대,30대",,,"봄,가을",
69,,,109,1,234,1,,,,,187,1,141,1,235,1,올리브비니,"케쥬얼,캠퍼스,스트릿",남,"10대,20대,30대",,,"봄,가을",
70,,,56,1,193,2,,,,,102,1,,,,,기본템들,"미니멀,케쥬얼,캠퍼스",남,"10대,20대,30대",,,"봄,가을",
71,285,1,,,94,1,,,,,58,1,322,1,,,남색가디건,"미니멀,케쥬얼,캠퍼스",여,"10대,20대,30대",,,"봄,가을",
72,,,40,1,37,1,,,,,106,1,,,,,쪼리멜론,케쥬얼,여,"10대,20대,30대",,,여름,
73,,,195,1,193,2,,,,,173,2,,,,,음,"케쥬얼,캠퍼스,스트릿",남,"10대,20대,30대",,,"봄,가을",
74,288,1,,,149,1,,,,,102,1,,,218,1,겨울,"케쥬얼,캠퍼스",남,"10대,20대,30대",,,겨울,
75,133,1,,,28,1,,,,,154,3,,,48,1,차콜후드집업,"케쥬얼,캠퍼스","남,여","10대,20대,30대",,,"봄,가을",
76,,,196,1,165,1,,,,,106,1,,,,,그레이블루조거,"케쥬얼,캠퍼스,스트릿","남,여","10대,20대,30대",,,여름,
77,,,143,1,,,297,1,,,273,2,208,1,,,미니플레어화이트,"캠퍼스,페미닌,러블리",여,"10대,20대",,,"봄,여름,가을",
78,,,148,1,,,227,1,,,168,3,264,1,,,잔패턴블라우스,"캠퍼스,페미닌,러블리",여,"10대,20대,30대",,,여름,
79,,,11,1,,,299,1,,,270,2,211,1,,,하늘크롭가죽치마,"캠퍼스,섹시글램,페미닌",여,"10대,20대",,,여름,